0\Breidablik\\0\0\0\Weapon\Summon Gun Users Only\Kiran\Fires Heroes\-\Kiran; -; -; -; -\Kiran; -; -; -; -\Weapon, Purple, Gun\0,0,0,0,0\\Chill Breidablik\
10\Chill Breidablik\\0\0\0\Weapon\Summon Gun Users Only\Kiran\Fires Heroes, Guides user to where they are needed most.  Counters Surtr's shields\-\-; -; -; -; -\-; -; -; -; -\Weapon, Purple, Gun\0,0,0,0,0\\\
20\Missiletainn\\400\15\1\Weapon\Sword and Blue Tome Users Only\Ophelia, Owain\Accelerates Special trigger (cooldown count-1).  Grants Special cooldown charge +1 per foe's attack during combat.  (Does not stack.  Special cooldown charge granted even if foe's attack deals 0 damage.) *** Accelerates Special trigger (cooldown count-1).  At the start of turn 1, grants Special cooldown count-1 for each magic ally on your team (includes unit).\*Silver Sword* or *Shine*\-; -; -; -; Ophelia, Owain\-; -; -; -; Ophelia, Owain\Weapon, Red, Blue, Killer\0,15,0,0,0\\\
30\Umbra Burst\\400\15\1\Weapon\Everyone\-\Unit can counterattack regardless of foe's range. Deals a minimum of 1 damage.\-\-; -; -; -; -\-; -; -; -; -\Weapon, CC, DC\0,15,0,0,0\\\
1000\Iron Sword\\50\6\1\Weapon\Sword Users Only\-\-\-\All Sword Users; -; -; -; -\All Sword Users; -; -; -; -\Weapon, Red, Blade, Iron\0,6,0,0,0\\\
1001\Steel Sword\\100\8\1\Weapon\Sword Users Only\-\-\*Iron Sword*\-; -; All Sword Users; -; -\-; All Sword Users; -; -; -\Weapon, Red, Blade, Steel\0,8,0,0,0\\\
1002\Silver Sword\\200\11\1\Weapon\Sword Users Only\-\-\*Steel Sword*\-; -; -; Alfonse, Alm, Alm(Brave), Astram, Ayra, Black Knight, Byleth(F), Byleth(M), Catria(SoV), Celica(Brave), Celica(Fallen), Chrom(Branded), Chrom(Launch), Corrin(M)(Launch), Eirika(Bonds), Eirika(Graceful), Elincia, Eliwood, Eliwood(Wind), Gunnthra(Winter), Hector(Halloween), Hrid, Ike, Ike(Vanguard), Laslow, Laevatein, Laegjarn, Leif, Lif, Lloyd, Lucina, Lyn, Mareeta(Fallen), Marth, Marth(King), Marth(Masked), Olivia(Launch), Olivia(Traveler), Owain, Oxorsid, Phina, Reinhardt(World), Roy, Roy(Brave), Roy(Fire), Ryoma, Ryoma(Supreme), Saku, Seliph, Siegbert, Sigurd, Skittles, Xander, Zelgius, Zephiel; -\-; -; Alfonse, Alm, Alm(Brave), Astram, Ayra, Black Knight, Byleth(F), Byleth(M), Catria(SoV), Celica(Brave), Celica(Fallen), Chrom(Branded), Chrom(Launch), Corrin(M)(Launch), Eirika(Bonds), Eirika(Graceful), Elincia, Eliwood, Eliwood(Wind), Gunnthra(Winter), Hector(Halloween), Hrid, Ike, Ike(Vanguard), Laslow, Laevatein, Laegjarn, Leif, Lif, Lloyd, Lucina, Lyn, Mareeta(Fallen), Marth, Marth(King), Marth(Masked), Olivia(Launch), Olivia(Traveler), Owain, Oxorsid, Phina, Reinhardt(World), Roy, Roy(Brave), Roy(Fire), Ryoma, Ryoma(Supreme), Saku, Seliph, Siegbert, Sigurd, Skittles, Xander, Zelgius, Zephiel; -; -\Weapon, Red, Blade, Silver\0,11,0,0,0\\\
1003\Silver Sword+\\300\15\1\Weapon\Sword Users Only\-\-\*Silver Sword*\-; -; -; -; Laslow, Olivia(Launch)\-; -; -; -; Laslow, Olivia(Launch)\Weapon, Red, Blade, Silver\0,15,0,0,0\\\y
1010\Folkvangr\\400\16\1\Weapon\Sword Users Only\Alfonse\Grants Atk+5 at start of turn if unit's HP __<__ 50%.\*Silver Sword*\-; -; -; -; Alfonse\-; -; -; -; Alfonse\Weapon, Red, Blade, (E)Gem\0,16,0,0,0\\\Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage. ** At start of combat, if unit's HP __<__ 80%, grants Atk/Def+7 during combat.
1020\Brave Sword\\200\5\1\Weapon\Sword Users Only\-\Spd-5. Attack twice when initiating combat.\*Steel Sword*\-; -; -; Arden, Cain, Draug, Luke, Ogma; -\-; -; Arden, Cain, Draug, Luke, Ogma; -; -\Weapon, Red, Blade, Brave\0,5,-5,0,0\\\
1021\Brave Sword+\\300\8\1\Weapon\Sword Users Only\-\Spd-5. Attack twice when initiating combat.\*Brave Sword*\-; -; -; -; Arden, Cain, Draug, Luke, Ogma\-; -; -; -; Arden, Cain, Draug, Luke, Ogma\Weapon, Red, Blade, Brave\0,8,-5,0,0\\\
1030\Armorslayer\\200\8\1\Weapon\Sword Users Only\-\-\*Steel Sword*\-; -; -; Caeda, Hana, Selena(Fates), Tobin; -\-; -; Caeda, Hana, Selena(Fates), Tobin; -; -\Weapon, Red, Blade, Armor-killer\0,8,0,0,0\\\
1031\Armorslayer+\\300\12\1\Weapon\Sword Users Only\-\-\*Armorslayer*\-; -; -; -; Caeda, Hana, Selena(Fates), Tobin\-; -; -; -; Caeda, Hana, Selena(Fates), Tobin\Weapon, Red, Blade, Armor-killer\0,12,0,0,0\\Armorsmasher+\
1040\Ruby Sword\\200\8\1\Weapon\Sword Users Only\-\Gives Atk+20% if weapon-triangle advantage, Atk-20% if disadvantage.\*Steel Sword*\-; -; -; Hinata, Palla, Seth, Stahl; -\-; -; Hinata, Palla, Seth, Stahl; -; -\Weapon, Red, Blade, Gem\0,8,0,0,0\\\
