["アサルト", "Assault"]
["ファイアー", "Fire"]
["火のブレス", "Fire Breath"]
["ミィル", "Flux"]
["鉄の斧", "Iron Axe"]
["鉄の弓", "Iron Bow"]
["鉄の暗器", "Iron Dagger"]
["鉄の槍", "Iron Lance"]
["鉄の剣", "Iron Sword"]
["ライト", "Light"]
["サンダー", "Thunder"]
["ウインド", "Wind"]
["エルファイアー", "Elfire"]
["エルライト", "Ellight"]
["エルサンダー", "Elthunder"]
["エルウインド", "Elwind"]
["火炎のブレス", "Fire Breath+"]
["ルイン", "Ruin"]
["鋼の斧", "Steel Axe"]
["鋼の弓", "Steel Bow"]
["鋼の暗器", "Steel Dagger"]
["鋼の槍", "Steel Lance"]
["鋼の剣", "Steel Sword"]
["アブゾーブ", "Absorb"]
["愛のケーキサーバ", "Ardent Service"]
["アーマーキラー", "Armorslayer"]
["アーマーキラー2", "Armorsmasher"]
["暗器殺しの弓", "Assassin's Bow"]
["暗殺手裏剣", "Barb Shuriken"]
["ビーチフラッグ", "Beach Banner"]
["ベルクトの槍", "Berkut's Lance"]
["スレッダブラー", "Blárblade"]
["ブラーアウル", "Blárowl"]
["ナートブラー", "Blárraven"]
["ブラーサーペント", "Blárserpent"]
["ウルファブラー", "Blárwolf"]
["聖なるブーケ", "Blessed Bouquet"]
["青の卵", "Blue Egg"]
["青のプレゼント箱", "Blue Gift"]
["ボルガノン", "Bolganone"]
["勇者の斧", "Brave Axe"]
["勇者の弓", "Brave Bow"]
["勇者の槍", "Brave Lance"]
["勇者の剣", "Brave Sword"]
["燭台", "Candelabra"]
["キャンドルサービス", "Candlelight"]
["ニンジンの斧", "Carrot Axe"]
["ニンジンの槍", "Carrot Lance"]
["カサブランカ", "Casa Blanca"]
["クライネの弓", "Clarisse's Bow"]
["ヤシの実の弓", "Cocobow"]
["キューピッドの矢", "Cupid Arrow"]
["扇子", "Dancer's Fan"]
["舞踏の輪", "Dancer's Ring"]
["楽譜", "Dancer's Score"]
["闇のブレス", "Dark Breath"]
["魚を突いた銛", "Deft Harpoon"]
["深緑の斧", "Emerald Axe"]
["フィアー", "Fear"]
["ノスフェラート", "Fenrir"]
["火薙ぎの弓", "Firesweep Bow"]
["火薙ぎの槍", "Firesweep Lance"]
["火薙ぎの剣", "Firesweep S"]
["ファーストバイト", "First Bite"]
["魚の弓", "Fishie Bow"]
["灼熱のブレス", "Flametongue"]
["清らかなブーケ", "Fresh Bouquet"]
["ビッグスプーン", "Giant Spoon"]
["グラーティア", "Gratia"]
["グラビティ", "Gravity"]
["緑の卵", "Green Egg"]
["緑のプレゼント箱", "Green Gift"]
["スレッダグラン", "Gronnblade"]
["グルンアウル", "Gronnowl"]
["ナートグラン", "Gronnraven"]
["ウルファグラン", "Gronnwolf"]
["遠距離防御の弓", "Guard Bow"]
["羽子板", "Hagoita"]
["破魔矢", "Hama Ya"]
["ハンマー", "Hammer"]
["ハンドベル", "Handbell"]
["倭鉾", "Harmonic Lance"]
["貫きの槍", "Heavy Spear"]
["ハイビスカスの本", "Hibiscus Tome"]
["南国のジュース", "Juicy Wave"]
["門松", "Kadomatsu"]
["鏡餅", "Kagami Mochi"]
["ブラーウルフ2", "Keen Blárwolf"]
["グルンウルフ2", "Keen Gronnwolf"]
["ラウアウルフ2", "Keen Rauðrwolf"]
["キラーアクス", "Killer Axe"]
["キラーボウ", "Killer Bow"]
["キラーランス", "Killer Lance"]
["キルソード", "Killing Edge"]
["猫の暗器", "Kitty Paddle"]
["ローローの斧", "Legion's Axe"]
["ベビーキャロット", "Lethal Carrot"]
["光のブレス", "Light Breath"]
["雷のブレス", "Lightning Breath"]
["リリスの浮き輪", "Lilith Floatie"]
["スイカ割りの棍棒", "Melon Crusher"]
["骨の弓", "Monstrous Bow"]
["ペイン", "Pain"]
["パニック", "Panic"]
["秘毒の暗器", "Poison Dagger"]
["ポールアクス", "Poleaxe"]
["スレッダラウア", "Rauðrblade"]
["ラウアアウル", "Rauðrowl"]
["ナートラウア", "Rauðrraven"]
["ウルファラウア", "Rauðrwolf"]
["氷菓子の弓", "Refreshing Bolt"]
["反攻の槍", "Reprisal Lance"]
["レクスカリバー", "Rexcalibur"]
["ホースキラー", "Ridersbane"]
["盗賊の暗器", "Rogue Dagger"]
["旭日の剣", "Ruby Sword"]
["プレゼント袋", "Sack o' Gifts"]
["守りの剣", "Safeguard"]
["蒼海の槍", "Sapphire Lance"]
["熱帯魚の本", "Sealife Tome"]
["貝殻", "Seashell"]
["貝殻の槍", "Shell Lance"]
["シャイン", "Shine"]
["銀の斧", "Silver Axe"]
["銀の弓", "Silver Bow"]
["銀の暗器", "Silver Dagger"]
["銀の槍", "Silver Lance"]
["銀の剣", "Silver Sword"]
["キラーアクス2", "Slaying Axe"]
["キラーボウ2", "Slaying Bow"]
["キルソード2", "Slaying Edge"]
["ハンマー2", "Slaying Hammer"]
["キラーランス2", "Slaying Lance"]
["貫きの槍2", "Slaying Spear"]
["スロウ", "Slow"]
["紫煙の暗器", "Smoke Dagger"]
["ゴーストの魔道書", "Spectral Tome"]
["ヒトデ", "Starfish"]
["聖樹", "Tannenboom!"]
["粛清の暗器", "The Cleaner"]
["トロン", "Thoron"]
["トマトの本", "Tomato Tome"]
["トリレンマ", "Trilemma"]
["水のブレス", "Water Breath"]
["倭刀", "Wo Dao"]
["倭棍", "Wo Gùn"]
["斬馬刀", "Zanbato"]
["アブゾーブ＋", "Absorb+"]
["愛のケーキサーバ＋", "Ardent Service+"]
["アーマーキラー＋", "Armorslayer+"]
["アーマーキラー2＋", "Armorsmasher+"]
["暗器殺しの弓＋", "Assassin's Bow+"]
["暗殺手裏剣＋", "Barb Shuriken+"]
["ビーチフラッグ＋", "Beach Banner+"]
["ベルクトの槍＋", "Berkut's Lance+"]
["スレッダブラー＋", "Blárblade+"]
["ブラーアウル＋", "Blárowl+"]
["ナートブラー＋", "Blárraven+"]
["ブラーサーペント＋", "Blárserpent+"]
["ウルファブラー＋", "Blárwolf+"]
["聖なるブーケ＋", "Blessed Bouquet+"]
["青の卵＋", "Blue Egg+"]
["青のプレゼント箱＋", "Blue Gift+"]
["ボルガノン＋", "Bolganone+"]
["勇者の斧＋", "Brave Axe+"]
["勇者の弓＋", "Brave Bow+"]
["勇者の槍＋", "Brave Lance+"]
["勇者の剣＋", "Brave Sword+"]
["燭台＋", "Candelabra+"]
["キャンドル＋", "Candlelight+"]
["ニンジンの斧＋", "Carrot Axe+"]
["ニンジンの槍＋", "Carrot Lance+"]
["カサブランカ＋", "Casa Blanca+"]
["クライネの弓＋", "Clarisse's Bow+"]
["ヤシの実の弓＋", "Cocobow+"]
["キューピッドの矢＋", "Cupid Arrow+"]
["扇子＋", "Dancer's Fan+"]
["舞踏の輪＋", "Dancer's Ring+"]
["楽譜＋", "Dancer's Score+"]
["闇のブレス＋", "Dark Breath+"]
["魚を突いた銛＋", "Deft Harpoon+"]
["深緑の斧＋", "Emerald Axe+"]
["フィアー＋", "Fear+"]
["ノスフェラート＋", "Fenrir+"]
["火薙ぎの弓＋", "Firesweep Bow+"]
["火薙ぎの槍＋", "Firesweep L+"]
["火薙ぎの剣＋", "Firesweep S+"]
["ファーストバイト＋", "First Bite+"]
["魚の弓＋", "Fishie Bow+"]
["灼熱のブレス＋", "Flametongue+"]
["清らかなブーケ＋", "Fresh Bouquet+"]
["ビッグスプーン＋", "Giant Spoon+"]
["グラーティア＋", "Gratia+"]
["グラビティ＋", "Gravity+"]
["緑の卵＋", "Green Egg+"]
